Width,Online_Accuracy,Std_Error
4,57.781666666666666,2.376748868766993
6,75.10833333333333,1.5344538981123215
10,84.45166666666667,0.5501251260585982
16,87.66888888888889,0.2645755199585099
24,89.53000000000002,0.4042574353973912
32,90.64111111111112,0.21177429945454748
48,91.39444444444445,0.135004191369169
64,91.81444444444445,0.044861469440147746
100,92.47500000000001,0.09412691720868009
316,93.35222222222222,0.031956117030042704
1000,93.9088888888889,0.030493202372765996
2000,94.26277777777777,0.011036788463519649
3162,94.53888888888889,0.0029745145192990935
